timestamp,min_cpu,max_cpu,avg_cpu
2017-01-15 21:25:00,738574.7268459995,2334544.0576860127,1313236.3933869973
2017-01-25 18:05:00,805158.3193360013,2419308.019809024,1392252.9490949886
2017-01-06 23:55:00,687938.9384730096,2175322.2652369933,1180731.6118089913
2017-01-05 17:15:00,751498.4436859998,2377946.762297037,1327580.070834004
2017-01-14 11:45:00,705545.7102420033,2156167.3903680057,1222168.7564149909
2017-01-10 11:20:00,705403.7291769995,2144953.3952570055,1171905.4357320073
2017-01-30 02:10:00,692235.1693569904,2064416.092354004,1139589.141507997
2017-01-04 21:55:00,778677.4435520017,2703465.5716830133,1440678.1083580044
2017-01-12 16:30:00,781523.4867550023,2441634.199008976,1373394.4195119834
2017-01-25 07:20:00,710807.7092330126,2079692.113777,1175313.6993780057
2017-01-02 22:30:00,742565.6309069878,2407114.122360018,1296743.5373390084
2017-01-05 10:50:00,695999.4964850002,2179146.715670997,1201875.1801590002
2017-01-05 10:35:00,690714.7723159993,2163231.8084349856,1180593.402151997
2017-01-16 16:50:00,806384.6986110003,2422090.143439034,1393711.5032379788
2017-01-25 15:50:00,802464.7833330027,2437432.02358598,1390923.9970479766
2017-01-01 02:05:00,658051.9698929904,2130695.9418669855,1146013.9976839807
2017-01-22 16:10:00,786103.3703629997,2464596.084412987,1401339.95549403
2017-01-29 15:15:00,773836.3377719887,2376864.100394049,1353225.1978660005
2017-01-26 16:15:00,886769.2487860034,2653943.195170015,1536183.844056002
2017-01-04 13:45:00,745044.9332890123,2330226.978612025,1280065.3849429877
2017-01-22 02:35:00,600262.5031029982,1957822.5245669931,1034908.5458040056
2017-01-07 10:15:00,685052.6115109961,2157832.808366016,1186201.186830995
2017-01-23 19:10:00,700455.2085340169,2301054.576996991,1260186.3839649926
2017-01-02 12:25:00,704879.6561000055,2404379.1532679787,1283264.5018939956
2017-01-17 14:25:00,703886.5224350116,2343518.461330966,1265721.769697004
2017-01-11 08:20:00,701223.827498014,2118766.8678480163,1158054.3414920126
2017-01-11 17:05:00,750246.7440939845,2362058.01604298,1310658.750529001
2017-01-17 08:30:00,676552.8145790064,2063932.5402969788,1130537.1851479907
2017-01-13 17:40:00,748739.5275209856,2432289.0218919986,1337384.6423099935
2017-01-10 14:00:00,732568.3386340094,2288282.8497879696,1254783.1962849898
2017-01-10 12:25:00,721533.739794002,2289180.759846046,1242408.3611220077
2017-01-19 05:25:00,643146.7400099894,1997567.0150600064,1090823.3380699975
2017-01-21 13:45:00,713412.0425199941,2203195.649467007,1252650.7920289836
2017-01-28 23:00:00,766775.7541990044,2294031.6928060404,1303353.7070590137
2017-01-14 15:50:00,753807.1580139993,2281668.2518220684,1296579.5142179849
2017-01-22 12:55:00,716358.2046819826,2292664.5326599902,1290470.2879669832
2017-01-23 22:25:00,677991.5981530095,2192755.918472009,1179655.4928450035
2017-01-09 20:40:00,710622.2592239956,2250017.5291439933,1237079.3990640077
2017-01-07 17:15:00,738791.1757430091,2314385.8156969976,1290929.3246069895
2017-01-08 14:00:00,765580.5076490032,2347653.7166049844,1328341.560486975
2017-01-20 03:05:00,633078.4009189999,1928693.919698979,1050087.795950005
2017-01-10 01:45:00,653667.6439589972,2074221.8865849809,1096348.9748459803
2017-01-30 19:30:00,817056.9380320163,2498772.7397400117,1419899.770579014
2017-01-19 21:35:00,686188.8548949935,2177279.594995024,1183130.2221870115
2017-01-02 04:10:00,640478.1330569944,2038087.7621009944,1076758.261338002
2017-01-23 20:00:00,689824.1429129988,2210280.8594880057,1217825.9947470042
2017-01-06 01:50:00,644945.3089960001,2009579.820234004,1075447.9667090029
2017-01-08 20:50:00,732028.2974379921,2340802.9394920133,1265548.8825259998
2017-01-23 23:15:00,659107.611657002,2018858.4311060344,1109262.1795929968
2017-01-13 18:40:00,764660.4841929951,2392567.446011954,1343602.274727016
2017-01-10 00:35:00,650593.6186449927,2138504.582497,1107870.21201002
2017-01-26 14:05:00,756416.9207220059,2292533.1462470125,1292775.0236929902
2017-01-07 03:10:00,623069.2647139921,1957513.090232945,1042736.7998859972
2017-01-07 14:55:00,722902.4215589964,2361616.968326009,1291363.4309470076
2017-01-04 10:05:00,729439.1744630012,2284291.9629319855,1238886.656017023
2017-01-03 13:10:00,707611.0171530081,2329989.760424009,1249788.540598015
2017-01-28 02:50:00,667371.5117660019,2036316.677075989,1111341.943557999
2017-01-22 08:10:00,634528.7982770023,2015115.569460989,1103636.9724020106
2017-01-16 08:45:00,719747.0909669951,2155561.4199150056,1217188.5522449974
2017-01-12 09:40:00,714966.711961008,2202457.8927229545,1207046.860152006
2017-01-13 12:35:00,719560.365574991,2184581.4715829887,1220627.2272499714
2017-01-29 05:05:00,662264.2317449893,2012052.828395991,1104204.009606006
2017-01-21 21:05:00,740203.3097430023,2353014.7507949984,1322527.201632013
2017-01-08 22:25:00,699732.0787220021,2296404.4651359627,1224515.5893639976
2017-01-03 19:05:00,721204.2880370006,2382065.698354008,1291001.2389709912
2017-01-07 05:30:00,622130.1581259996,1935787.2867430083,1040060.7986070146
2017-01-27 10:00:00,791872.0207280123,2286655.912787009,1306197.9482550214
2017-01-26 20:40:00,864662.2209019884,2519874.8201829917,1456771.6723090222
2017-01-24 09:10:00,672415.0579069984,2099655.1209999924,1147186.6220849822
2017-01-13 03:10:00,651255.5996709996,1974897.8174290191,1072972.1007540098
2017-01-26 04:05:00,680795.6875599988,2040245.089190996,1134032.6957630117
2017-01-14 23:00:00,730316.0663950031,2189224.989969991,1246182.9310860094
2017-01-01 18:50:00,722796.8359209895,2332249.05013503,1282760.1438610177
2017-01-28 08:55:00,716930.605180985,2269454.3112889715,1264779.1233149937
2017-01-13 05:40:00,670186.8619909986,1998866.8897210013,1104918.0164480023
2017-01-01 19:55:00,724249.8650870073,2398249.640302008,1311970.378762009
2017-01-24 14:40:00,737277.3508800005,2303399.088733996,1293323.572933021
2017-01-10 10:20:00,685660.4727999981,2133320.537214986,1151611.9918899992
2017-01-11 21:20:00,698539.8485299867,2154214.199682997,1190989.2321339971
2017-01-14 23:40:00,701355.9631329894,2166074.413935989,1207528.8634329964
2017-01-05 12:20:00,698494.1582180095,2166639.535837993,1192633.3585230208
2017-01-04 19:55:00,749267.1382489939,2446273.518777993,1331357.2286169997
2017-01-13 22:45:00,709670.0070500048,2199225.324640994,1225906.1504320102
2017-01-09 19:30:00,719370.6205419991,2265719.4424220207,1258721.8663389743
2017-01-12 03:15:00,645727.6064940057,1956962.4497400029,1060157.314486013
2017-01-16 11:15:00,730972.1191989884,2228821.3776469873,1259018.7802500213
2017-01-30 16:30:00,824115.9989800041,2539856.099568017,1436318.2173449732
2017-01-27 21:30:00,761275.6585349938,2376364.9930520025,1343524.196365011
2017-01-26 00:30:00,710883.3225410032,2107074.2468680097,1176021.314693992
2017-01-23 17:10:00,756278.3426679979,2409484.6707530147,1356031.7865380223
2017-01-24 13:30:00,694428.9195330093,2169868.088617012,1202330.2964569996
2017-01-26 07:15:00,700150.1144730074,2089176.776186008,1168806.0063890193
2017-01-09 02:25:00,640561.4658059997,2056580.2741910168,1084327.0064220016
